parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
156.0,8.0,16.0,0.55,0.31,0.62,0.19,0.38,0.06,0.12
157.0,13.0,31.0,0.36,0.16,0.38,0.13,0.31,0.03,0.08
158.0,15.0,48.0,0.27,0.08,0.27,0.08,0.27,0.02,0.07
159.0,18.0,40.0,0.48,0.25,0.56,0.2,0.44,0.1,0.22
160.0,24.0,44.0,0.46,0.27,0.5,0.23,0.42,0.09,0.17
161.0,38.0,133.0,0.4,0.12,0.42,0.08,0.29,0.02,0.08
162.0,57.0,109.0,0.3,0.17,0.33,0.1,0.19,0.02,0.04
163.0,74.0,77.0,0.33,0.35,0.36,0.3,0.31,0.05,0.05
164.0,41.0,72.0,0.44,0.26,0.46,0.24,0.41,0.01,0.02
165.0,45.0,67.0,0.38,0.3,0.44,0.24,0.36,0.06,0.09
166.0,32.0,130.0,0.51,0.15,0.59,0.09,0.38,0.02,0.09
167.0,20.0,77.0,0.51,0.17,0.65,0.13,0.5,0.0,0.0
168.0,2.0,44.0,0.56,0.02,0.5,0.02,0.5,0.02,0.5
169.0,9.0,70.0,0.62,0.09,0.67,0.09,0.67,0.01,0.11
170.0,2.0,73.0,0.66,0.01,0.5,0.01,0.5,0.01,0.5
171.0,6.0,156.0,0.5,0.02,0.5,0.02,0.5,0.01,0.17
172.0,26.0,150.0,0.33,0.07,0.38,0.05,0.27,0.0,0.0
173.0,10.0,152.0,0.88,0.07,1.0,0.07,1.0,0.03,0.5
174.0,1.0,64.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
175.0,16.0,112.0,0.21,0.04,0.25,0.03,0.19,0.0,0.0
176.0,31.0,43.0,0.39,0.33,0.45,0.23,0.32,0.05,0.06
177.0,9.0,19.0,0.59,0.32,0.67,0.21,0.44,0.11,0.22
178.0,10.0,24.0,0.69,0.33,0.8,0.29,0.7,0.12,0.3
179.0,13.0,26.0,0.42,0.23,0.46,0.15,0.31,0.15,0.31
180.0,8.0,19.0,0.21,0.11,0.25,0.0,0.0,0.0,0.0
181.0,7.0,14.0,0.27,0.14,0.29,0.14,0.29,0.0,0.0
182.0,9.0,25.0,0.47,0.16,0.44,0.12,0.33,0.12,0.33
183.0,15.0,26.0,0.27,0.15,0.27,0.12,0.2,0.04,0.07
184.0,31.0,42.0,0.23,0.19,0.26,0.14,0.19,0.05,0.06
185.0,21.0,82.0,0.28,0.07,0.29,0.05,0.19,0.04,0.14
186.0,24.0,46.0,0.41,0.24,0.46,0.22,0.42,0.13,0.25
187.0,20.0,43.0,0.33,0.19,0.4,0.09,0.2,0.0,0.0
188.0,2.0,37.0,0.47,0.03,0.5,0.03,0.5,0.0,0.0
189.0,1.0,30.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
190.0,11.0,31.0,0.55,0.23,0.64,0.19,0.55,0.1,0.27
